periodo;demanda
1;17
2;0
3;0
4;0
5;6
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;4
21;0
22;0
23;14
24;0
25;5
26;0
27;0
28;2
29;0
30;5
31;6
32;0
33;41
34;0
35;3
36;3
37;0
38;4
39;15
40;0
41;5
42;6
43;8
44;31
45;0
46;6
47;8
48;1
49;10
50;2
51;5
52;16
53;15
54;12
55;7
56;11
57;3
58;16
59;4
60;8
61;18
62;2
63;11
64;3
65;4
66;10
67;20
68;2
69;5
70;4
71;29
72;2
73;10
74;4
75;1
76;13
77;4
78;26
79;7
80;12
81;2
82;17
83;3
84;26
85;17
86;2
87;9
88;20
89;45
90;11
91;10
92;4
93;11
94;26
95;7
96;15
97;6
98;18
99;27
100;20
101;6
102;7
103;6
104;24
105;7
106;4
107;31
108;24
109;9
110;16
111;13
112;54
113;13
114;40
115;5
116;4
117;10
118;34
119;9
120;10
121;23
122;41
123;11
124;4
125;14
126;11
127;39
128;5
129;18
130;37
131;18
132;16
133;19
134;19
135;38
136;39
137;10
138;17
139;10
140;11
141;49
142;40
143;25
144;10
145;19
146;21
147;29
148;17
149;29
150;32
151;8
152;24
153;31
154;26
155;33
156;33
157;39
158;29
159;27
160;52
161;19
162;27
163;19
164;12
165;39
166;5
167;37
168;62
169;7
170;24
171;46
172;39
173;62
174;23
175;19
176;30
177;16
178;36
179;16
180;43
181;19
182;29
183;37
184;32
185;16
186;47
187;14
188;26
189;27
190;25
191;34
192;29
193;35
194;27
195;97
196;45
197;15
198;9
199;33
200;29
201;45
202;25
203;22
204;40
205;16
206;21
207;26
208;46
209;26
210;40
211;32
212;15
213;42
214;25
215;17
216;40
217;89
218;35
219;18
220;31
221;17
222;31
223;12
224;19
225;29
226;26
227;78
228;24
229;42
230;23
231;12
232;75
233;33
234;45
235;22
236;44
237;28
238;53
239;57
240;15
241;43
242;41
243;56
244;25
245;18
246;29
247;34
248;36
249;38
250;46
251;20
252;42
253;35
254;19
255;47
256;22
257;63
258;44
259;22
260;31
261;46
262;31
263;40
264;67
265;12
266;97
267;30
268;38
269;75
270;29
271;54
272;84
273;51
274;51
275;40
276;50
277;46
278;60
279;65
280;68
281;52
282;29
283;68
284;30
285;39
286;17
287;57
288;37
289;61
290;37
291;46
292;58
293;31
294;35
295;38
296;82
297;58
298;23
299;38
300;60
301;51
302;43
303;56
304;52
305;46
306;70
307;50
308;59
309;87
310;42
311;52
312;39
313;37
314;70
315;30
316;46
317;52
318;43
319;51
320;37
321;69
322;32
323;55
324;48
325;50
326;78
327;26
328;54
329;83
330;82
331;44
332;32
333;85
334;44
335;27
336;69
337;65
338;70
339;50
340;46
341;43
342;51
343;60
344;43
345;41
346;71
347;45
348;62
349;51
350;47
351;90
352;40
353;37
354;34
355;23
356;43
357;97
358;46
359;23
360;47
361;69
362;47
363;68
364;48
365;47
366;73
367;53
368;56
369;62
370;45
371;56
372;55
373;54
374;67
375;63
376;42
377;122
378;66
379;34
380;42
381;62
382;72
383;51
384;30
385;112
386;77
387;65
388;70
389;68
390;72
391;76
392;55
393;50
394;82
395;63
396;43
397;99
398;33
399;39
400;75
401;76
402;39
403;65
404;64
405;53
406;96
407;68
408;60
409;48
410;77
411;84
412;89
413;79
414;33
415;50
416;45
417;85
418;55
419;53
420;55
421;70
422;45
423;77
424;90
425;53
426;41
427;34
428;61
429;64
430;69
431;90
432;80
433;50
434;40
435;62
436;109
437;74
438;52
439;71
440;72
441;38
442;47
443;74
444;97
445;126
446;70
447;110
448;73
449;78
450;73
451;129
452;86
453;75
454;73
455;90
456;61
457;67
458;50
459;50
460;63
461;40
462;58
463;106
464;92
465;86
466;101
467;73
468;104
469;104
470;109
471;45
472;96
473;53
474;75
475;69
476;110
477;106
478;71
479;71
480;95
481;82
482;99
483;102
484;61
485;62
486;76
487;63
488;71
489;56
490;163
491;60
492;67
493;57
494;135
495;49
496;100
497;106
498;77
499;69
500;144
501;75
502;68
503;99
504;64
505;45
506;75
507;77
508;111
509;64
510;110
511;71
512;61
513;63
514;62
515;73
516;88
517;85
518;67
519;74
520;92
521;154
522;47
523;77
524;92
525;94
526;141
527;51
528;98
529;109
530;84
531;73
532;50
533;78
534;80
535;59
536;76
537;131
538;87
539;89
540;125
541;101
542;143
543;66
544;87
545;116
546;64
547;112
548;140
549;86
550;74
551;98
552;84
553;153
554;101
555;96
556;48
557;99
558;66
559;108
560;100
561;58
562;81
563;81
564;91
565;56
566;98
567;86
568;129
569;84
570;71
571;113
572;79
573;77
574;118
575;97
576;86
577;88
578;110
579;103
580;73
581;89
582;77
583;156
584;70
585;108
586;98
587;121
588;107
589;79
590;100
591;80
592;109
593;82
594;119
595;93
596;112
597;93
598;160
599;97
600;105
601;98
602;46
603;92
604;80
605;112
606;81
607;53
608;82
609;131
610;94
611;113
612;109
613;123
614;54
615;83
616;109
617;122
618;129
619;81
620;114
621;92
622;99
623;73
624;92
625;90
626;140
627;113
628;104
629;115
630;98
631;82
632;56
633;91
634;77
635;64
636;84
637;175
638;131
639;104
640;134
641;77
642;91
643;95
644;91
645;139
646;129
647;113
648;141
649;119
650;111
651;78
652;82
653;136
654;110
655;120
656;80
657;186
658;112
659;88
660;127
661;90
662;98
663;205
664;88
665;101
666;124
667;60
668;102
669;126
670;79
671;134
672;103
673;115
674;130
675;90
676;106
677;108
678;145
679;107
680;103
681;123
682;206
683;134
684;108
685;135
686;122
687;134
688;126
689;117
690;165
691;99
692;153
693;117
694;99
695;135
696;108
697;75
698;151
699;80
700;89
701;124
702;146
703;98
704;121
705;161
706;106
707;91
708;106
709;124
710;122
711;86
712;105
713;138
714;108
715;90
716;182
717;121
718;101
719;110
720;140
721;151
722;102
723;174
724;184
725;140
726;122
727;94
728;163
729;145
730;157
731;116
732;82
733;97
734;124
735;123
736;131
737;92
738;90
739;137
740;95
741;131
742;121
743;136
744;95
745;118
746;153
747;159
748;107
749;104
750;89
751;92
752;117
753;110
754;134
755;183
756;117
757;102
758;135
759;118
760;148
761;90
762;108
763;118
764;109
765;69
766;115
767;143
768;110
769;125
770;142
771;135
772;98
773;96
774;87
775;107
776;99
777;97
778;139
779;115
780;112
781;109
782;173
783;145
784;160
785;125
786;214
787;141
788;132
789;118
790;137
791;152
792;136
793;134
794;106
795;105
796;95
797;121
798;99
799;81
800;85
801;126
802;81
803;72
804;112
805;78
806;52
807;38
808;46
809;31
810;36
811;43
812;72
813;62
814;14
815;18
816;27
817;36
818;3
819;15
820;13
821;5
822;
